claim_id,claim_text,source_url,source_type,status,confidence,notes
1,"The InP substrate market is concentrated, with Sumitomo, AXT/Tongmei, and JX accounting for most share.","https://www.sec.gov/Archives/edgar/data/1051627/000155837022011572/axti-20220801xex99d1.htm","SEC filing citing industry research","supported","high","Prospectus cites Yole 2020 share data."
2,"AXT directly links InP demand to data-center connectivity, AI applications, PICs, and silicon photonics.","https://www.sec.gov/Archives/edgar/data/1051627/000155837025007751/axti-20250331x10q.htm","company filing","supported","high","Direct support for AI relevance of InP."
3,"China added InP substrates to its export-control list on February 4, 2025.","https://www.sec.gov/Archives/edgar/data/1051627/000155837025003004/axti-20241231x10k.htm","company filing","supported","high","Also reiterated in AXT 2025 Q1 filing."
4,"AXT manufactures all wafer substrates in China.","https://www.sec.gov/Archives/edgar/data/1051627/000155837025007751/axti-20250331x10q.htm","company filing","supported","high","Important geopolitical concentration fact."
5,"NVIDIA is moving toward silicon photonics and co-packaged optics in AI networking.","https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Spectrum-X-Photonics-Co-Packaged-Optics-Networking-Switches-to-Scale-AI-Factories-to-Millions-of-GPUs/default.aspx","company press release","supported","high","Supports demand-side optical adoption."
6,"Broadcom is pushing third-generation co-packaged optics further into AI networking.","https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo","company press release","supported","high","Supports optical demand acceleration."
7,"Lumentum ties InP lasers to AI-driven co-packaged optics demand.","https://investor.lumentum.com/financial-news-releases/news-details/2025/Lumentum-Expands-U-S--Manufacturing-for-AI-Driven-Co-Packaged-Optics/","company press release","supported","high","Supports device-layer relevance."
8,"Coherent is expanding 6-inch InP-related capacity outside the narrow substrate-duopoly framing.","https://www.coherent.com/news/press-releases/worlds-first-6-inch-inp-scalable-wafer-fabs-paving-the-way-for-the-next-generation-of-lasers-for-ai-transceivers-and-6g-wireless-networks","company press release","supported","medium","Capacity expansion weakens the strongest scarcity framing."
9,"JX Advanced Metals is adding InP substrate capacity in response to AI and hyperscale optical demand.","https://www.jx-nmm.com/english/newsrelease/2025/07/23/upload_files/Notice_Regarding_Capital_Investment_for_Increased_Production_of_Crystal_Materials_%28Acquisition_of_Fixed_Assets%29.pdf","company notice","supported","high","Shows live capacity response from a smaller supplier."
10,"Google TPU v7 created unprecedented strain on the InP supply chain.","https://docs.cloud.google.com/tpu/docs/tpu7x","product documentation","unverified","low","Public TPU docs support photonics direction but do not prove the exact claim."
11,"The AI industry can be frozen by two InP suppliers alone.","https://www.sec.gov/Archives/edgar/data/1051627/000155837022011572/axti-20220801xex99d1.htm","inference from supplier concentration","unsupported","low","Too absolute based on currently verified evidence."
