claim_id,claim_text,source_url,source_type,status,confidence,notes
1,"IEA says that by 2035 China is set to supply around 80% of refined magnet rare earth elements.","https://www.iea.org/reports/global-critical-minerals-outlook-2025/overview-of-outlook-for-key-minerals","IEA report","supported","high","Direct support for durable refining concentration."
2,"IEA says China accounted for about 91% of magnet rare earth separation and refining production in 2024.","https://www.iea.org/commentaries/with-new-export-controls-on-critical-minerals-supply-concentration-risks-become-reality","IEA commentary","supported","high","Supports concentration at the refining/separation layer."
3,"IEA says China accounts for 94% of sintered permanent magnet production used across cars, wind turbines, industrial motors, data centres, and defence systems.","https://www.iea.org/commentaries/with-new-export-controls-on-critical-minerals-supply-concentration-risks-become-reality","IEA commentary","supported","high","Strong support that finished magnet manufacturing is the most extreme bottleneck layer."
4,"China imposed export controls on certain medium and heavy rare earth items on April 4, 2025.","https://www.iea.org/policies/26796-export-controls-on-certain-medium-and-heavy-rare-earth-items","IEA policy tracker","supported","high","Supports geopolitical bottleneck risk."
5,"IEA says export volumes fell sharply after the April 2025 controls and some manufacturers had to cut utilization or temporarily shut factories.","https://www.iea.org/commentaries/with-new-export-controls-on-critical-minerals-supply-concentration-risks-become-reality","IEA commentary","supported","high","Shows the concentration risk already translated into real industrial disruption."
6,"DoD says terbium is essential for NdFeB magnets in key defense systems and funded domestic production expansion.","https://www.defense.gov/News/Releases/Release/Article/3898948/department-of-defense-awards-422-million-to-increase-production-of-terbium-and/","DoD release","supported","high","Supports heavy rare earths as a distinct bottleneck."
7,"DoD funded domestic rare earth permanent magnet manufacturing through E-VAC/VAC to strengthen U.S. supply chains.","https://www.defense.gov/News/Releases/Release/Article/3529874/department-of-defense-enters-an-agreement-to-expand-domestic-manufacturing-to-s/","DoD release","supported","high","Supports magnet manufacturing as a strategic and scarce layer."
8,"MP Materials restored U.S. rare earth magnet production in 2025 and began trial production of automotive-grade sintered NdFeB magnets in Texas.","https://investors.mpmaterials.com/investor-news/news-details/2025/MP-Materials-Restores-U.S.-Rare-Earth-Magnet-Production/default.aspx?query=email%25252525252525252525252520marketing","company release","supported","high","Supports live domestic diversification at the magnet layer."
9,"MP Materials' July 2025 DoD partnership added a long-term NdPr price floor, heavy rare earth separation expansion, and a second magnet facility.","https://investors.mpmaterials.com/investor-news/news-details/2025/MP-Materials-Announces-Transformational-Public-Private-Partnership-with-the-Department-of-Defense-to-Accelerate-U-S--Rare-Earth-Magnet-Independence/default.aspx","company release","supported","high","Supports mine-to-magnet expansion and policy-backed economics."
10,"Lynas is the largest rare earths producer outside China and has U.S. heavy rare earth separation buildout backed by DoD.","https://lynasrareearths.com/","company site","supported","medium","Home page supports its non-China significance; DoD-backed HRE facility adds strategic relevance."
11,"Lynas was awarded a U.S. DoD contract to build a commercial heavy rare earth facility in Texas.","https://lynasrareearths.com/lynas-awarded-us120m-contract-to-build-commercial-heavy-rare-earths-facility/","company release","supported","high","Supports allied heavy rare earth diversification."
12,"Rare earth mining alone is the dominant bottleneck in this chain.","https://www.iea.org/commentaries/with-new-export-controls-on-critical-minerals-supply-concentration-risks-become-reality","inference contradicted by stronger midstream/downstream concentration","unsupported","low","Evidence points more strongly to refining and magnet manufacturing."
13,"Non-China diversification has already solved the rare-earth bottleneck problem.","https://investors.mpmaterials.com/investor-news/news-details/2025/MP-Materials-Announces-Transformational-Public-Private-Partnership-with-the-Department-of-Defense-to-Accelerate-U-S--Rare-Earth-Magnet-Independence/default.aspx","inference contradicted by state-backed expansion and IEA concentration data","unsupported","low","Diversification is underway but still far from removing concentration risk."
