claim_id,claim_text,source_url,source_type,status,confidence,notes
1,"HBM is central to AI workloads and demand for high-bandwidth memory continues to rise with AI training and inference growth.","https://investors.micron.com/news-releases/news-release-details/micron-breaks-ground-new-hbm-advanced-packaging-facility","company press release","supported","high","Micron explicitly ties HBM advanced packaging expansion to AI data-center demand."
2,"SK hynix had completed HBM supply discussions for the following year by late 2025 and said HBM4 shipments would begin in Q4 2025.","https://news.skhynix.com/sk-hynix-announces-3q25-financial-results/","company press release","supported","high","Supports strong forward demand and early HBM4 ramp."
3,"SK hynix completed HBM4 development and prepared mass production in 2025.","https://news.skhynix.com/sk-hynix-completes-worlds-first-hbm4-development-and-readies-mass-production/","company press release","supported","high","Supports frontier HBM supply race among a very small set of vendors."
4,"Micron began shipping 12-high 36GB HBM4 samples to major customers in June 2025.","https://investors.micron.com/news-releases/news-release-details/maikuronzhuyaogukeheno-hbm4-chuhewokaishicishidai-ai","company press release","supported","high","Official Micron release available in translated newsroom variants."
5,"Micron's new HBM advanced packaging facility in Singapore is scheduled to begin operations in 2026, with meaningful packaging-capacity expansion beginning in 2027.","https://investors.micron.com/news-releases/news-release-details/micron-breaks-ground-new-hbm-advanced-packaging-facility","company press release","supported","high","Strong evidence that packaging capacity itself needs major expansion."
6,"Samsung began mass production and commercial shipments of HBM4 in February 2026 and expects HBM sales to more than triple in 2026 versus 2025.","https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing","company press release","supported","high","Confirms both competitive HBM4 ramp and demand expectations."
7,"TSMC's 2024 annual report says strong AI demand boosted advanced packaging and notes CoWoS-L volume production started in 2024.","https://investor.tsmc.com/static/annualReports/2024/english/ebook/files/basic-html/page100.html","company annual report","supported","high","Direct evidence of packaging demand and technology ramp."
8,"TSMC said strong AI demand fueled revenue growth in leading-edge logic and advanced packaging in 2024.","https://investor.tsmc.com/static/annualReports/2024/english/ebook/files/basic-html/page8.html","company annual report","supported","high","Supports advanced packaging as a growth and capacity planning issue."
9,"The U.S. Department of Commerce said that a lack of 2.5D technology capacity had been a significant chokepoint in meeting rapidly increasing demand for generative AI products and services.","https://www.commerce.gov/news/press-releases/2024/07/biden-harris-administration-announces-preliminary-terms-amkor","government press release","supported","high","This is the clearest official external statement that advanced packaging is a binding bottleneck."
10,"Advanced packaging is a critical supply-chain capability for AI and high-performance compute, which is why Commerce awarded Amkor funding for a U.S. advanced packaging facility.","https://www.commerce.gov/news/press-releases/2024/12/biden-harris-administration-announces-chips-incentives-award-amkor","government press release","supported","high","Supports packaging bottleneck and domestic resilience angle."
11,"Advanced substrates are foundational to future advanced packaging and are not currently produced in the U.S. at scale, motivating CHIPS investments in Absolics, Applied Materials, and ASU.","https://www.commerce.gov/news/press-releases/2024/11/chips-america-announces-300-million-funding-boost-us-semiconductor","government press release","supported","high","Supports substrate/materials layer as a meaningful future constraint."
12,"The U.S. is treating advanced packaging as strategic enough to fund a national piloting and packaging facility through Natcast and NAPMP.","https://www.commerce.gov/news/press-releases/2025/01/us-department-commerce-announces-14-billion-final-awards-support-next","government press release","supported","high","Supports the view that packaging bottlenecks are structurally important."
13,"HBM alone is the only real bottleneck in AI accelerator scaling.","https://www.commerce.gov/news/press-releases/2024/07/biden-harris-administration-announces-preliminary-terms-amkor","inference contradicted by official packaging evidence","unsupported","low","Official sources point to packaging as a major bottleneck too."
14,"Advanced substrate and packaging-material constraints are already the single dominant bottleneck today.","https://www.commerce.gov/news/press-releases/2024/11/chips-america-announces-300-million-funding-boost-us-semiconductor","inference from strategic funding","unverified","low","Evidence supports strategic importance, but not yet that this is the single tightest point."
