claim_id,claim_text,source_url,source_type,status,confidence,notes
1,"IEA says wait times for critical grid components such as transformers and cables have doubled in the past three years.","https://www.iea.org/reports/energy-and-ai/executive-summary%C2%A0","IEA report","supported","high","Supports grid components as a bottleneck for AI-related load growth."
2,"IEA says procurement now takes up to four years for large power transformers and two to three years for cables, with average lead times almost doubled since 2021.","https://www.iea.org/reports/building-the-future-transmission-grid/executive-summary","IEA report","supported","high","Strong support for transmission equipment bottlenecks."
3,"NEMA said transformer lead times had reached a current average of 120 weeks in September 2024.","https://www.nema.org/news-trends/view/nema-welcomes-niac-recommendations-to-address-transformer-supply-chain-constraints-and-ensure-grid-reliability","industry association release","supported","high","Important U.S.-specific confirmation of severe lead times."
4,"DOE's large power transformer resilience report says 36-month lead times are commonly quoted and maximum lead times reach 60 months.","https://www.energy.gov/sites/default/files/2024-10/EXEC-2022-001242%20-%20Large%20Power%20Transformer%20Resilience%20Report%207-10-24.pdf","DOE report","supported","high","Strong support that large power transformers are the most acute transformer bottleneck."
5,"DOE says over 60 million distribution transformers are in service in the United States.","https://www.energy.gov/articles/doe-finalizes-energy-efficiency-standards-distribution-transformers-protect-domestic","DOE release","supported","high","Shows the breadth and installed-base importance of the distribution-transformer layer."
6,"DOE says distribution transformers are increasingly needed for EV chargers and NREL projects a tripling of distribution transformer installations by 2050.","https://www.energy.gov/articles/doe-finalizes-energy-efficiency-standards-distribution-transformers-protect-domestic","DOE release","supported","high","Strong support for long-duration growth in distribution-transformer demand."
7,"DOE says distribution transformers serve homes, businesses, manufacturing, and data centers, and researchers estimate about 55 percent of in-service units are older than 33 years.","https://www.energy.gov/oe/articles/energy-department-researches-distribution-transformer-types-and-demand-drivers","DOE release","supported","high","Supports replacement demand plus growth demand."
8,"DOE's FITT program was launched to improve grid reliability and ease transformer supply chain constraints.","https://www.energy.gov/oe/articles/updated-us-department-energy-announces-18-million-flexible-innovative-transformers","DOE release","supported","high","Government policy directly acknowledges transformer supply constraints."
9,"DOE's 2024 data-center energy-use report says U.S. data-center load is projected to double or triple by 2028.","https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers","DOE release","supported","high","Supports the demand-side pressure on grid infrastructure."
10,"Cables and related transmission components are also supply constrained and can take two to three years to procure, with some DC cables beyond five years.","https://www.iea.org/news/rising-component-prices-and-supply-chain-pressures-are-hindering-the-development-of-transmission-grid-infrastructure","IEA news release","supported","high","Supports cables as a meaningful adjacent bottleneck."
11,"Distribution transformers are currently a more severe bottleneck than large power transformers.","https://www.energy.gov/sites/default/files/2024-10/EXEC-2022-001242%20-%20Large%20Power%20Transformer%20Resilience%20Report%207-10-24.pdf","inference contradicted by lead-time evidence","unsupported","low","Evidence points more strongly to utility-scale power transformers as the more acute chokepoint."
12,"Cables are already a clearly bigger bottleneck than transformers.","https://www.iea.org/reports/building-the-future-transmission-grid/executive-summary","inference from shared component tightness","unverified","low","Evidence supports cable constraints, but not yet that they dominate transformer constraints."
