claim_id,claim_text,source_url,source_type,status,confidence,notes
1,"DOE says data-center cooling can account for up to 40% of data-center energy usage overall.","https://www.energy.gov/articles/doe-announces-40-million-more-efficient-cooling-data-centers","DOE release","supported","high","Direct support for cooling as a major operating burden."
2,"DOE says data-center electricity demand is projected to double or triple by 2028.","https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers","DOE release","supported","high","Strong demand-side support for rising thermal loads."
3,"NVIDIA says hyperscale facilities can support over 135 kW per rack today, up from 20 kW historically.","https://blogs.nvidia.com/blog/blackwell-platform-water-efficiency-liquid-cooling-data-centers-ai-factories/","company blog","supported","high","Supports the power-density shift making air cooling less viable."
4,"NVIDIA says liquid cooling is a key solution for next-generation AI infrastructure and that traditional air cooling struggles at these power levels.","https://blogs.nvidia.com/blog/blackwell-platform-water-efficiency-liquid-cooling-data-centers-ai-factories/","company blog","supported","high","Supports liquid cooling as a necessity claim."
5,"NVIDIA contributed Blackwell liquid-cooling and thermal environment specifications to OCP to support higher compute density and networking bandwidth.","https://nvidianews.nvidia.com/news/nvidia-contributes-blackwell-platform-design-to-open-hardware-ecosystem-accelerating-ai-infrastructure-innovation","company press release","supported","high","Supports that cooling is now a design-spec layer of the ecosystem."
6,"DOE COOLERCHIPS funding explicitly targets chip-level and modular cooling innovations, including two-phase cold plates and thermal resistance reduction.","https://www.energy.gov/articles/doe-announces-40-million-more-efficient-cooling-data-centers","DOE release","supported","high","Supports component-level cooling as an active innovation and bottleneck area."
7,"Schneider says data centers are moving past 140 kW per rack with future power densities of 1 MW and more, requiring liquid cooling.","https://www.se.com/ww/en/about-us/newsroom/news/press-releases/schneider-electric-unveils-liquid-cooling-portfolio-with-motivair-featuring-dedicated-solutions-and-services-for-hpc-and-ai-workloads-68d69e595c9dbb622505caf3/","company press release","supported","high","Strong support for liquid cooling as required infrastructure at future densities."
8,"Schneider says direct liquid cooling is up to 3,000 times more effective than air and requires an end-to-end approach including sourcing, installation, and maintenance.","https://www.se.com/ww/en/about-us/newsroom/news/press-releases/schneider-electric-unveils-liquid-cooling-portfolio-with-motivair-featuring-dedicated-solutions-and-services-for-hpc-and-ai-workloads-68d69e595c9dbb622505caf3/","company press release","supported","high","Supports the thermal-chain and services bottleneck framing."
9,"Schneider's CDU portfolio scales from 105 kW to 2.5 MW and to 10 MW+ through centralized control, showing that CDU scale is becoming a major systems layer.","https://www.se.com/us/en/about-us/newsroom/news/press-releases/Motivair-by-Schneider-Electric-announces-new-CDU-with-capability-to-scale-to-10MW-and-beyond-for-nextgen-AI-Factories-69705c3655f8517e99086bbd/","company press release","supported","high","Supports CDU/facility-side layer as a serious scaling bottleneck."
10,"Vertiv is expanding both liquid cooling hardware and fluid-management services, including through PurgeRite, to support high-density AI environments.","https://www.vertiv.com/en-emea/about/news-and-insights/news-releases/vertiv-announces-intent-to-acquire-purgerite-a-leading-provider-of-specialized-fluid-management-services-to-expand-liquid-cooling-services-portfolio/","company press release","supported","high","Supports service/commissioning as part of the bottleneck."
11,"Supermicro says liquid-cooled data centers are expected to rise to 30% of installations and that its rack-level CDU can remove 250 kW per rack.","https://ir.supermicro.com/news/news-details/2025/Supermicros-DLC-2-the-Next-Generation-Direct-Liquid-Cooling-Solutions-Aims-to-Reduce-Data-Center-Power-Water-Noise-and-Space-Saving-on-Electricity-Cost-by-up-to-40-and-Lowering-TCO-by-up-to-20/default.aspx","company press release","supported","medium","Useful evidence of rack-level thermal scale, though still vendor-specific."
12,"Chip-level thermal interfaces and cold plates are already the single dominant cooling bottleneck.","https://www.energy.gov/articles/doe-announces-40-million-more-efficient-cooling-data-centers","inference from innovation funding","unverified","low","Evidence supports importance, but not yet that this is the tightest current constraint."
13,"Cooling is still mostly an optional efficiency enhancer rather than a required layer for high-density AI deployments.","https://blogs.nvidia.com/blog/blackwell-platform-water-efficiency-liquid-cooling-data-centers-ai-factories/","inference contradicted by density and liquid-cooling evidence","unsupported","low","Current official/vendor evidence points in the opposite direction."
